society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
orchid petals,flat,sector 49,1.95,9972.0,1955.0,Super Built up area 1805(167.69 sq.m.),3,3,3,2.0,East,Old Property,1805.0,,,0,0,0,0,0,1,90
signature global park,flat,sohna road road,0.54,7200.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North-East,Under Construction,,,750.0,0,0,0,0,0,0,111
dlf regal gardens,flat,sector 90,1.19,5505.0,2162.0,Super Built up area 1726(160.35 sq.m.),3,3,2,11.0,South-East,Relatively New,1726.0,,,0,0,0,0,1,0,88
ats triumph,flat,sector 104,2.62,8317.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,14.0,North,Relatively New,3150.0,,,0,1,0,0,0,0,174
pareena coban residences,flat,sector 99a,1.08,6625.0,1630.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),3,5,3,2.0,West,Relatively New,1997.0,1750.0,1630.0,0,1,0,0,1,0,49
independent,house,sector 57,8.0,29630.0,2700.0,Plot area 300(27.87 sq.m.),5,4,3,2.0,North,Relatively New,,300.0,,1,1,0,0,0,0,21
tulip violet,flat,sector 69,1.52,9632.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,4.0,South-West,Relatively New,1578.0,,,0,0,0,0,0,1,156
independent,house,sector 56,7.5,23148.0,3240.0,Plot area 360(301.01 sq.m.),8,8,3+,3.0,North-East,Relatively New,,3240.0,,1,1,0,0,0,2,42
vipul tatvam villa,house,sector 48,5.75,22184.0,2592.0,Plot area 288(240.8 sq.m.)Built Up area: 280 sq.yards (234.12 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),4,4,2,2.0,West,Moderately Old,,280.0,250.0,0,1,0,0,0,0,30
eldeco mansionz,house,sector 48,6.4,23704.0,2700.0,Plot area 365(305.19 sq.m.)Built Up area: 366 sq.yards (306.02 sq.m.),4,4,3,3.0,West,Moderately Old,,366.0,,0,1,1,0,0,1,151
greenopolis,flat,sector 89,0.8,6168.0,1297.0,Carpet area: 1297 (120.5 sq.m.),2,2,2,6.0,South,Under Construction,,,1297.0,0,0,0,0,0,0,44
tarc maceo,flat,sector 91,0.89,6339.0,1404.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,East,Relatively New,1404.0,,1200.0,0,0,0,0,1,1,13
ss,flat,sector 85,1.18,7170.0,1646.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,4.0,West,Relatively New,1640.0,1630.0,1620.0,0,0,0,0,0,0,49
signature global park,flat,sohna road road,0.9,8035.0,1120.0,Super Built up area 1120(104.05 sq.m.),3,2,2,2.0,South,Under Construction,1120.0,,,0,0,0,0,0,0,144
elan the presidential,flat,sector 106,3.9,15918.0,2450.0,Built Up area: 2450 (227.61 sq.m.),3,3,0,20.0,,Undefined,,2450.0,,0,0,0,0,0,0,66
the close north,flat,sector 50,2.75,12500.0,2200.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,3.0,South-East,Moderately Old,2605.0,2400.0,2200.0,0,1,0,0,0,0,110
pivotal devaan apartments,flat,sector 84,0.39,6500.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,0,5.0,North,Undefined,600.0,,500.0,0,0,0,0,0,0,0
orchid island,flat,sector 51,1.7,10651.0,1596.0,Carpet area: 1596 (148.27 sq.m.),3,4,3,2.0,West,Moderately Old,,,1596.0,0,0,1,0,0,0,90
vidya apartment,flat,sector 3 phase 3 extension,0.22,4210.0,523.0,Built Up area: 570 (52.95 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,1.0,North-West,Relatively New,,570.0,550.0,0,0,0,0,1,2,36
independent,house,sector 3,0.6,6000.0,1000.0,Built Up area: 1000 (92.9 sq.m.),1,1,0,1.0,,Undefined,,1000.0,,0,0,0,0,0,0,0
ats triumph,flat,sector 104,2.5,7936.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,14.0,North-East,New Property,3150.0,,,0,1,0,0,0,0,21
dlf new town heights,flat,sector 90,1.25,6502.0,1922.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,5.0,North,Relatively New,1930.0,1929.0,1928.0,0,1,0,0,0,0,127
central park resorts,flat,sector 48,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,6700.0,1,1,0,0,0,2,45
suncity platinum towers,flat,sector 28,7.0,22222.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,10.0,North,Moderately Old,3150.0,,1913.0,0,1,0,0,0,0,31
ss the leaf,flat,sector 85,1.07,6524.0,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,21.0,South,Relatively New,1640.0,,,0,0,0,0,0,0,67
shree vardhman flora,flat,sector 90,0.65,4961.0,1310.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1225 sq.ft. (113.81 sq.m.)Carpet area: 1075 sq.ft. (99.87 sq.m.),2,2,3,11.0,North-West,Relatively New,1300.0,1225.0,1075.0,1,0,0,0,0,1,49
denso haryana housing society,flat,manesar,0.9,4308.0,2089.0,Carpet area: 2089 (194.07 sq.m.),3,3,3+,5.0,East,Moderately Old,,,2089.0,0,1,0,0,0,0,7
signature global city 81,flat,sector 81,0.89,8279.0,1075.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,3.0,North,Under Construction,,,1075.0,0,0,0,0,1,0,20
shree vardhman victoria,flat,sector 70,1.8,9230.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,5,3,0.0,,New Property,,,1950.0,0,0,0,0,0,0,72
independent,house,sector 28,11.75,41315.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively New,,2844.0,,1,1,1,0,0,1,54
shree vardhman victoria,flat,sector 70,1.75,8205.0,2133.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,7.0,,New Property,1950.0,,1161.0,0,1,0,0,0,0,37
orris carnation residency,flat,sector 85,1.1,6686.0,1645.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6.0,East,Moderately Old,1645.0,,1300.0,0,1,0,0,0,2,65
indiabulls enigma,flat,sector 110,3.79,9895.0,3830.0,Super Built up area 3830(355.82 sq.m.),5,5,3,4.0,South-West,Relatively New,3830.0,,,0,1,0,0,1,0,125
supertech araville,flat,sector 79,1.1,5641.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,,Relatively New,,,1950.0,0,0,0,0,0,1,106
nirvana country,house,sector 50,10.0,14285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,Moderately Old,,7000.0,,0,1,0,0,0,2,0
godrej air,flat,sector 85,2.6,12212.0,2129.0,Built Up area: 2129 (197.79 sq.m.),3,3,3,17.0,,Under Construction,,2129.0,,0,1,0,0,0,0,44
pivotal devaan,flat,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,1,1.0,East,Relatively New,,,483.0,0,0,1,0,0,1,84
sanskriti apartment,flat,sector 10a,1.1,6666.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,,Moderately Old,,,1650.0,0,0,0,0,0,0,22
tulip orange,flat,sector 70,1.0,10309.0,970.0,Carpet area: 970 (90.12 sq.m.),3,2,2,3.0,,Moderately Old,,,970.0,0,0,0,0,0,0,58
independent,house,sector 25,4.35,32222.0,1350.0,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,Old Property,,1350.0,,0,1,0,0,0,0,49
paras dews,flat,sector 106,0.92,6642.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,East,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,0,174
oriental valley chs,flat,sector 9a,1.5,8108.0,1850.0,Carpet area: 1850 (171.87 sq.m.),4,3,3+,8.0,,Moderately Old,,,1850.0,0,0,0,0,0,0,35
bestech park view sanskruti,flat,sector 92,1.83,7870.0,2325.0,Super Built up area 2325(216 sq.m.),4,3,3,8.0,East,New Property,2325.0,,,0,1,0,0,0,0,128
essel towers,flat,sector 14,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,North-West,Undefined,,,1760.0,0,0,0,0,0,0,0
signature global park 4,flat,sector 36 road,0.85,11333.0,750.0,Carpet area: 750 (69.68 sq.m.),3,2,3,1.0,,New Property,,,750.0,0,0,0,0,0,0,33
dlf regal gardens,flat,sector 90,1.3,7150.0,1818.0,Super Built up area 1818(168.9 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,7.0,South,Relatively New,1818.0,1700.0,1400.0,0,0,0,0,0,0,141
ansal sushant lok plots,house,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,1,49
shree vardhman flora,flat,sector 90,1.27,4951.0,2565.0,Super Built up area 2575(239.23 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,5,2,9.0,North-East,New Property,2575.0,,1950.0,1,1,0,0,0,0,83
shree vardhman flora,flat,sector 90,0.65,6789.0,957.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,9.0,South-East,Relatively New,1350.0,1050.0,950.0,1,0,0,0,0,0,67
dlf trinity towers,flat,sector 43,3.8,15510.0,2450.0,Built Up area: 2450 (227.61 sq.m.),3,3,3+,1.0,South-East,Moderately Old,,2450.0,,0,1,0,0,0,1,68
independent,house,sector 104,0.6,5128.0,1170.0,Plot area 130(108.7 sq.m.),7,3,1,2.0,North,Moderately Old,,1170.0,,0,0,0,0,0,0,0
m3m woodshire,flat,sector 107,1.2,6176.0,1943.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,7.0,South,Relatively New,1943.0,1750.0,1550.0,0,0,0,0,0,1,49
independent,house,new sector 2,1.0,8796.0,1137.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3,2,2,1.0,North,Old Property,,120.0,100.0,0,0,0,0,0,0,0
antriksh heights,flat,sector 84,0.9,6206.0,1450.0,Super Built up area 1725(160.26 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,12.0,North-East,Relatively New,1725.0,1525.0,1450.0,0,0,0,0,0,0,166
experion the heartsong,flat,sector 108,0.93,6079.0,1530.0,Super Built up area 1283(119.19 sq.m.),2,3,3,10.0,East,Relatively New,1283.0,,,0,0,0,0,0,0,81
"nirmal enclave, maruti kunj road",house,sector 11,0.24,5333.0,450.0,Plot area 450(41.81 sq.m.),2,2,0,2.0,North,Relatively New,,450.0,,0,0,0,0,0,0,0
independent,house,sector 51,2.25,2778.0,8100.0,Plot area 100(83.61 sq.m.),6,3,3+,3.0,North-West,Relatively New,,900.0,,0,0,0,0,0,0,54
hcbs sports ville,flat,sohna road road,0.25,4166.0,600.0,Built Up area: 600 (55.74 sq.m.),1,1,1,12.0,,Relatively New,,600.0,,0,0,0,0,0,0,37
sobha city,flat,sector 108,3.35,13266.0,2525.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,,New Property,2072.9,,,0,0,0,0,0,0,102
tulip violet,flat,sector 69,1.36,8618.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,West,Relatively New,1578.0,,,0,0,0,0,0,1,49
m3m heights,flat,sector 65,2.1,16653.0,1261.0,Super Built up area 1261(117.15 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,3,8.0,,New Property,1261.0,,800.0,0,0,0,0,0,0,31
ramprastha the edge towers,flat,sector 37d,0.75,5319.0,1410.0,Built Up area: 1410 (130.99 sq.m.),2,2,3,19.0,,Moderately Old,,1410.0,,0,0,0,0,0,0,63
tulip violet,flat,sector 69,1.7,8432.0,2016.0,Super Built up area 2010(186.74 sq.m.),4,4,2,10.0,South,New Property,2010.0,,,0,0,0,0,0,0,125
m3m woodshire,flat,sector 107,1.8,7623.0,2361.0,Super Built up area 2361(219.34 sq.m.)Carpet area: 1384 sq.ft. (128.58 sq.m.),3,4,3+,2.0,,Relatively New,2361.0,,1384.0,0,1,0,0,0,0,129
alpha corp gurgaonone,flat,sector 84,1.15,7496.0,1534.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,8.0,North-East,Relatively New,1534.0,,1200.0,1,0,0,0,0,1,37
rk excelo,house,sector 12,0.6,13333.0,450.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Moderately Old,,30.0,15.0,0,0,0,0,1,0,0
raheja vedaanta,flat,sector 108,0.7,4651.0,1505.0,Built Up area: 1505 (139.82 sq.m.),2,2,2,12.0,South,Undefined,,1505.0,,0,0,0,0,0,0,0
imperia elvedor,flat,sector 37c,0.55,8221.0,669.0,Built Up area: 669 (62.15 sq.m.),1,1,0,5.0,,Undefined,,669.0,,0,0,0,0,0,0,0
sahara grace,flat,sector 28,5.5,14612.0,3764.0,Super Built up area 3764(349.69 sq.m.),4,5,3+,5.0,East,Moderately Old,3764.0,,,0,1,0,0,1,1,8
raisina residency,flat,sector 59,5.0,13058.0,3829.0,Carpet area: 3829 (355.73 sq.m.),4,4,3+,13.0,North-West,Relatively New,,,3829.0,1,1,1,0,0,1,174
vatika lifestyle homes,flat,sector 83,1.15,8214.0,1400.0,Super Built up area 1832(170.2 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,1,7.0,South-West,Moderately Old,1832.0,,1400.0,0,0,0,0,0,1,95
ansal api esencia,flat,sector 67,1.2,7407.0,1620.0,Carpet area: 180 (150.5 sq.m.),3,3,2,1.0,,Undefined,,,180.0,0,0,0,0,0,0,49
emaar mgf the palm drive,flat,sector 66,3.0,14285.0,2100.0,Super Built up area 2100(195.1 sq.m.),4,5,3+,10.0,East,Relatively New,2100.0,,,0,1,0,0,0,1,49
ss the leaf,flat,sector 85,1.77,7350.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3+,7.0,South-West,New Property,2408.0,,,0,0,1,0,0,0,107
senate court,flat,sector 62,0.9,14084.0,639.0,Built Up area: 639 (59.37 sq.m.),1,1,0,0.0,,Undefined,,639.0,,0,0,0,0,0,0,0
om appartments,flat,sector 3 phase 2,0.4,4444.0,900.0,Carpet area: 900 (83.61 sq.m.),3,2,1,3.0,,Relatively New,,,900.0,0,0,0,0,0,0,7
"bhim nagar, sector 6",house,sector 6,0.85,14096.0,603.0,Plot area 67(6.22 sq.m.),5,2,2,1.0,,Old Property,,67.0,,0,0,0,0,0,0,29
orris carnation residency,flat,sector 85,0.55,5788.0,950.0,Super Built up area 1115(103.59 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,5.0,North-East,Relatively New,1115.0,1050.0,950.0,0,0,0,0,1,0,174
dlf park place,flat,sector 54,5.75,24689.0,2329.0,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,12.0,North-East,Relatively New,2329.0,1900.0,1700.0,0,1,0,0,0,2,174
emaar mgf palm studios,flat,sector 66,1.45,14795.0,980.0,Super Built up area 1188(110.37 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.),2,2,3,3.0,East,Relatively New,1188.0,,980.0,0,0,0,0,0,0,92
central park flower valley,flat,sector 33 road,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,3,3,12.0,North-East,New Property,2100.0,,,0,1,0,0,0,1,49
conscient heritage max,flat,sector 102,1.82,9371.0,1942.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,15.0,East,Moderately Old,1942.0,,,0,1,0,0,0,0,125
ireo skyon,flat,sector 60,3.05,12788.0,2385.0,Super Built up area 2385(221.57 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,9.0,South-East,Relatively New,2385.0,2300.0,2200.0,0,1,0,0,0,1,165
takshila heights sector 37 c,flat,new,0.67,5583.0,1200.0,Super Built up area 1200(111.48 sq.m.),2,2,2,3.0,,Relatively New,1200.0,,,0,0,0,0,0,0,23
sheetla enclave,house,sector 5,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,,Moderately Old,,945.0,,0,0,1,0,0,1,0
rk tower,flat,sector 2,0.95,9595.0,990.0,Carpet area: 990 (91.97 sq.m.),2,2,1,1.0,South-East,Relatively New,,,990.0,0,0,0,0,0,0,99
independent,house,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,1800.0,,1,1,1,0,0,0,61
godrej oasis,flat,sector 88a,1.15,9856.0,1167.0,Carpet area: 108.4,2,2,1,12.0,,New Property,,,108.4,1,0,0,0,0,0,79
tulip violet,flat,sector 69,3.05,9664.0,3156.0,Super Built up area 3156(293.2 sq.m.),4,5,3+,14.0,South-West,Relatively New,3156.0,,,0,1,0,0,1,0,49
godrej nature plus,flat,sector 33 road,1.25,9025.0,1385.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,17.0,,Undefined,,1385.0,1000.0,0,0,0,0,0,0,56
ansal estella,flat,sector 103,1.5,8670.0,1730.0,Super Built up area 1730(160.72 sq.m.)Carpet area: 1725 sq.ft. (160.26 sq.m.),3,3,3+,6.0,,Under Construction,1730.0,,1725.0,0,0,0,0,0,0,58
la vida by tata housing,flat,sector 113,2.78,10334.0,2690.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2170 sq.ft. (201.6 sq.m.),3,4,3+,5.0,North-East,Relatively New,2690.0,2350.0,2170.0,0,1,0,0,0,0,174
green campus chs,flat,manesar,0.9,3935.0,2287.0,Super Built up area 2287(212.47 sq.m.),3,3,3+,6.0,North-East,Moderately Old,2287.0,,,0,1,0,0,0,0,5
independent,house,sector 31,3.5,24155.0,1449.0,Plot area 161(134.62 sq.m.),4,4,3,2.0,North-East,Old Property,,1449.0,,0,0,1,0,0,1,70
signature global park,flat,sohna road road,0.79,7308.0,1081.0,Super Built up area 1081(100.43 sq.m.),3,2,3+,4.0,,Under Construction,1081.0,,,0,0,0,0,0,0,109
shapoorji pallonji joyville gurugram,flat,sector 102,2.0,10799.0,1852.0,Super Built up area 1852(172.06 sq.m.),3,3,3,9.0,South-East,Relatively New,1852.0,,,0,0,0,0,0,0,49
m3m skycity,flat,sector 65,3.5,17039.0,2054.0,Carpet area: 2054 (190.82 sq.m.),3,3,3,15.0,East,New Property,,,2054.0,1,1,0,0,0,1,166
independent,house,sector 24,6.5,22855.0,2844.0,Plot area 316(264.22 sq.m.),4,4,2,2.0,,Old Property,,2844.0,,0,0,0,0,0,0,35
sobha city,flat,sector 108,2.4,17378.0,1381.0,Super Built up area 1381(128.3 sq.m.),2,2,2,14.0,,New Property,1381.0,,,0,0,0,0,0,1,113
independent,house,sector 105,1.3,11555.0,1125.0,Plot area 1125(104.52 sq.m.),3,3,1,2.0,North,Moderately Old,,1125.0,,0,0,0,0,0,0,16
breez global heights,flat,sohna road road,0.28,7142.0,392.0,Carpet area: 399 (37.07 sq.m.),1,1,1,4.0,,New Property,,,399.0,0,0,0,0,0,2,26
ss the leaf,flat,sector 85,2.2,6934.0,3173.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,4.0,East,Relatively New,2812.0,,,0,0,0,0,0,0,106
independent,house,sector 40,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9,9,3+,3.0,South-East,Relatively New,,2367.0,,0,0,0,0,0,1,66
emaar gurgaon greens,flat,sector 102,1.3,7878.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1155 sq.ft. (107.3 sq.m.),3,3,3,7.0,North-East,Relatively New,1650.0,,1155.0,0,1,0,0,0,0,93
sare crescent parc,flat,sector 92,0.9,4260.0,2113.0,Super Built up area 1995(185.34 sq.m.),4,5,3+,3.0,,Relatively New,1995.0,,,0,1,0,0,0,0,0
conscient habitat,flat,sector 99a,0.35,6422.0,545.0,Carpet area: 545 (50.63 sq.m.),2,2,1,3.0,North-East,Relatively New,,,545.0,0,0,0,0,0,0,62
unitech harmony,flat,sector 50,2.6,9590.0,2711.0,Super Built up area 2711(251.86 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,15.0,North-East,Relatively New,2711.0,2700.0,2200.0,0,1,0,0,1,1,174
shapoorji pallonji joyville gurugram,flat,sector 102,0.95,10383.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),2,2,2,14.0,,Undefined,,915.0,675.0,0,0,0,0,0,0,0
pyramid urban homes 2,flat,sector 86,0.5,8319.0,601.0,Carpet area: 601 (55.83 sq.m.),2,2,1,2.0,East,Relatively New,,,601.0,0,0,0,0,0,0,35
godrej oasis,flat,sector 88a,1.38,6679.0,2066.0,Carpet area: 2066 (191.94 sq.m.),3,3,3+,7.0,North,Relatively New,,,2066.0,0,1,0,0,0,0,72
pyramid urban homes 2,flat,sector 86,0.41,6905.0,594.0,Carpet area: 601 (55.83 sq.m.),2,2,1,3.0,West,Relatively New,,,601.0,0,0,0,0,0,0,63
smart world gems,flat,sector 89,1.13,8500.0,1329.0,Carpet area: 1326 (123.19 sq.m.),3,3,2,4.0,,Under Construction,,,1326.0,1,0,0,0,0,0,115
la vida by tata housing,flat,sector 113,3.35,12444.0,2692.0,Carpet area: 2692 (250.09 sq.m.),4,4,3+,11.0,North-East,Relatively New,,,2692.0,1,1,0,0,0,0,174
ss the leaf,flat,sector 85,1.75,7267.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,North,Relatively New,2408.0,,,0,1,0,0,0,0,49
dlf the arbour,flat,sector 63,7.9,20000.0,3950.0,Built Up area: 3950 (366.97 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4,4,3+,34.0,,Under Construction,,3950.0,2900.0,0,0,0,0,0,0,61
independent,house,sector 92,1.8,7627.0,2360.0,Built Up area: 2360 (219.25 sq.m.),4,5,0,13.0,,Undefined,,2360.0,,0,0,0,0,0,0,0
emaar mgf emerald floors,flat,sector 65,3.2,10159.0,3150.0,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,3,2,1.0,,Relatively New,,3150.0,1750.0,0,1,0,0,0,0,0
bestech park view sanskruti,flat,sector 92,1.55,7568.0,2048.0,Super Built up area 1995(185.34 sq.m.),3,4,3,16.0,South,Relatively New,1995.0,,,0,1,0,0,0,1,60
dlf the skycourt,flat,sector 86,1.58,8190.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,1,16.0,North,Relatively New,1929.0,1750.0,1450.0,0,0,0,0,0,1,152
smart world orchard,flat,sector 61,2.45,15800.0,1551.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 939.37 sq.ft. (87.27 sq.m.),3,3,3,3.0,,New Property,1549.0,,939.37,1,1,0,0,0,0,119
signature global synera,flat,sector 81,0.49,6666.0,735.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5.0,South,Relatively New,735.0,700.0,635.0,0,0,0,0,0,0,117
bptp terra,flat,sector 37d,1.45,8006.0,1811.0,Super Built up area 1811(168.25 sq.m.),3,3,3,9.0,North-East,Relatively New,1811.0,,,0,0,0,0,0,0,107
bestech park view sanskruti,flat,sector 92,2.0,8333.0,2400.0,Super Built up area 2475(229.94 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,5,3+,12.0,North,Relatively New,2475.0,,2400.0,0,1,0,0,0,1,60
emaar palm gardens,flat,sector 83,1.8,9473.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1244.33 sq.ft. (115.6 sq.m.),3,4,3,4.0,West,Relatively New,1900.0,,1244.33,1,1,1,0,0,1,174
vatika signature villas,house,sector 82,5.0,15432.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,Relatively New,,3240.0,,0,1,1,0,0,0,24
maa bhagwati residency,flat,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2,2,1,4.0,West,Relatively New,,,900.0,0,0,0,0,0,0,28
eros rosewood city,house,sector 49,3.75,22046.0,1701.0,Plot area 189(158.03 sq.m.),3,3,1,2.0,South,Old Property,,1701.0,,0,0,0,0,0,1,6
bestech park view residency,flat,sector 2,0.56,8632.0,649.0,Carpet area: 651 (60.48 sq.m.),1,1,2,6.0,South,Moderately Old,,,651.0,0,0,0,0,0,0,77
international city by sobha phase 1,house,sector 109,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,3+,2.0,West,Relatively New,,7000.0,4500.0,0,0,0,0,0,1,122
independent,house,sector 50,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0
shree vardhman victoria,flat,sector 70,1.8,9230.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,3,3+,10.0,North-East,New Property,1950.0,,,0,0,0,0,1,1,49
godrej oasis,flat,sector 88a,1.5,8108.0,1850.0,Carpet area: 1850 (171.87 sq.m.),3,3,2,3.0,,Relatively New,,,1850.0,0,0,0,0,0,0,47
pioneer araya,flat,sector 62,8.35,19513.0,4279.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16.0,East,Relatively New,4279.0,,,0,1,0,0,0,0,153
experion windchants,flat,sector 112,5.6,11529.0,4857.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,4857.0,3662.34,,0,1,0,0,0,1,157
krrish provence estate,flat,gwal pahari,5.25,9051.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,2.0,North-East,New Property,5800.0,,,1,1,0,0,0,0,49
