society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
smart world gems,flat,sector 89,0.97,8794.0,2,2,3+,2.0,New Property,1103.0,0,0,0,0,0,0,49
independent,house,sector 25,4.45,32963.0,4,3,3+,2.0,Moderately Old,1350.0,0,0,1,0,0,0,79
bestech park view ananda,flat,sector 81,1.35,7541.0,3,3,3+,10.0,Moderately Old,1452.66556469,0,0,1,0,0,1,72
independent,house,manesar,2.0,14954.0,3,1,0,3.0,Moderately Old,1337.4,0,0,0,0,0,0,16
independent,house,sector 4,0.5,9259.0,5,3,2,3.0,Old Property,540.0,0,0,0,0,0,0,0
smartworld one dxp,flat,sector 113,2.0,11074.0,3,3,3,12.0,New Property,1806.0,0,0,0,0,0,0,70
avl 36 gurgaon,flat,sector 36a,0.75,7500.0,2,2,2,5.0,Relatively New,896.9738073450001,0,0,0,0,0,0,26
independent,house,sector 43,27.5,24366.0,6,7,3+,3.0,Relatively New,11286.0,1,1,0,0,1,1,42
hero homes,house,sector 104,1.95,21195.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,0,0,0,64
prasha apartments,flat,manesar,0.75,3309.0,3,3,3+,3.0,Moderately Old,1878.81597097,0,1,0,0,0,0,31
emaar palm gardens,flat,sector 83,1.75,9210.0,3,3,3+,11.0,Relatively New,1557.0477054006,0,1,0,0,0,0,120
supertech araville,flat,sector 79,0.83,5424.0,2,2,3,5.0,New Property,1718.3235684100002,1,0,0,0,0,2,49
smart world orchard,flat,sector 61,1.65,13750.0,2,2,2,1.0,Under Construction,1387.7813685100002,1,0,0,0,0,0,16
independent,house,sector 17,3.0,11111.0,4,4,0,1.0,Moderately Old,2890.2459135100007,0,0,0,0,0,0,0
vipul lavanya,flat,sector 81,0.65,5265.0,2,2,2,14.0,Moderately Old,1022.2971685800001,0,0,0,0,0,0,96
earth copia,flat,sector 112,0.7,4673.0,2,2,2,4.0,Relatively New,1498.0,0,0,0,0,0,0,65
emaar gurgaon greens,flat,sector 102,1.3,7878.0,3,3,3,4.0,Relatively New,1336.1578287487,0,1,0,0,0,1,125
valley view estate,flat,gwal pahari,1.5,8278.0,4,4,3+,9.0,Old Property,2000.7869028700002,1,1,0,0,1,0,135
gls avenue 51,flat,sector 92,0.42,6562.0,3,3,1,2.0,Relatively New,826.8612717100001,0,0,0,0,0,0,20
dlf city plots,house,sector 26,18.0,39841.0,6,6,2,3.0,Old Property,4518.0,0,1,0,0,1,1,49
breez global heights,flat,sohna road road,0.4,6694.0,2,2,2,7.0,Relatively New,809.73619979795,0,0,0,0,0,0,57
dlf city plots,house,sector 26,17.0,37627.0,5,6,3,2.0,Old Property,4518.0,0,1,1,0,0,1,87
shree vardhman flora,flat,sector 90,0.65,4814.0,2,2,3,3.0,Relatively New,1193.49084337,1,0,0,0,0,0,106
independent,house,sector 43,5.3,27390.0,9,9,3+,3.0,Moderately Old,1935.0,0,1,0,0,0,1,71
bestech park view residency,flat,sector 2,1.51,7869.0,3,4,3+,7.0,Moderately Old,1704.12525217,0,1,0,0,0,1,84
ambience creacions,flat,sector 22,3.99,12912.0,3,5,3+,3.0,New Property,2752.26956497,0,1,0,0,0,2,102
central park flower valley,flat,sector 33 road,2.5,13270.0,3,3,2,1.0,Under Construction,2072.90520103,0,0,0,0,0,0,66
smart world one,flat,dwarka expressway,1.65,5933.0,3,4,3,6.0,Under Construction,2975.38557106,0,0,0,0,0,0,0
emaar mgf emerald floors premier,flat,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1525.1778849400002,1,1,0,0,0,1,136
ss the leaf,flat,sector 85,2.2,11178.0,4,5,3+,4.0,Relatively New,2390.0,0,1,0,0,0,0,174
signature global park,flat,sohna road road,0.78,6446.0,3,3,3,3.0,Relatively New,1397.7977988100001,0,0,0,0,0,0,150
smart world orchard,flat,sector 61,2.2,13496.0,3,3,2,3.0,Under Construction,1818.4878714100003,0,0,0,0,0,0,16
paras dews,flat,sector 106,1.5,6369.0,4,6,3+,11.0,Relatively New,1535.0,0,1,0,0,0,0,174
unitech nirvana birch court,house,sector 50,11.95,36883.0,3,3,2,1.0,Moderately Old,3240.0,1,1,0,0,0,0,101
rof ananda,flat,sector 95,0.38,5899.0,3,2,1,2.0,Relatively New,830.9798034813213,0,0,0,0,0,1,66
sare crescent parc royal greens phase 1,flat,sector 92,0.5,5000.0,2,2,3,2.0,Relatively New,1000.0,0,0,0,0,0,0,0
ompee k s residency,flat,new sector 2,1.6,2993.0,2,2,2,1.0,Relatively New,251.91817249000002,0,0,0,0,0,0,0
lotus homz,flat,sector 111,0.36,8888.0,1,1,1,10.0,Relatively New,591.47515966,0,0,0,0,0,0,44
m3m heights,flat,sector 65,1.99,15793.0,2,2,2,26.0,Under Construction,1112.8643577700002,0,0,0,0,0,0,48
bptp freedom park life,flat,sector 57,5.5,8982.0,5,6,3+,19.0,Moderately Old,5010.0,0,1,0,0,0,1,153
aipl zen residences,flat,sector 70a,1.82,10996.0,3,3,3,12.0,Relatively New,1600.0,0,0,0,0,0,0,108
prem kunj,house,sohna road road,0.5,7407.0,5,4,3,3.0,Relatively New,725.0,0,0,0,0,0,0,22
ambience creacions,flat,sector 22,2.79,15000.0,3,3,3,13.0,New Property,1860.0,0,0,0,0,0,2,158
tulip violet,flat,sector 69,1.9,9452.0,4,4,2,0.0,Relatively New,1784.75173777,0,0,0,0,0,0,49
tulip purple,flat,sector 69,1.92,8000.0,4,5,3+,5.0,Relatively New,2134.13317537,0,1,0,0,0,1,158
