society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
independent,house,sector 25,9.0,33333.0,5,5,3,3.0,Old Property,2700.0,1,1,1,0,0,0,56,"28.4844° N, 77.0860° E",28.4844,77.086
ss the leaf,flat,sector 85,2.13,7574.0,4,4,3,6.0,Relatively New,2600.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
shree vardhman flora,flat,sector 90,0.8,5925.0,2,3,2,0.0,Relatively New,1350.0,0,0,0,0,0,0,60,"28.4085° N, 76.9369° E",28.4085,76.9369
m3m heights,flat,sector 65,2.15,15003.0,2,2,3+,28.0,Relatively New,1433.0,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
shree vardhman victoria,flat,sector 70,1.75,8974.0,3,5,0,0.0,Relatively New,1950.0,0,0,0,0,0,0,47,"28.3968° N, 77.0233° E",28.3968,77.0233
pyramid urban homes 2,flat,sector 86,0.5,9698.0,2,2,2,6.0,Old Property,702.2476736785543,0,0,0,0,0,0,15,"28.3986° N, 76.9384° E",28.3986,76.9384
mapsko royale ville,flat,sector 82,1.12,6256.0,3,3,2,12.0,Relatively New,1587.8873737400002,0,0,0,0,0,0,49,"28.3935° N, 76.9600° E",28.3935,76.96
independent,house,sector 5,3.75,11029.0,5,5,3+,3.0,Old Property,3400.0,0,0,0,0,0,0,0,"28.4794° N, 77.0176° E",28.4794,77.0176
ambience lagoon,flat,sector 24,5.8,12500.0,3,4,3+,9.0,Old Property,3700.0,1,1,0,0,1,2,68,"28.4939° N, 77.1038° E",28.4939,77.1038
the lions cghs,flat,sector 56,2.1,8750.0,3,4,3+,8.0,Old Property,2200.0,0,0,0,0,1,1,166,"28.4245° N, 77.0991° E",28.4245,77.0991
orris carnation residency,flat,sector 85,0.9,6428.0,3,3,2,12.0,Relatively New,1402.0,0,0,0,0,0,0,120,"28.4042° N, 76.9513° E",28.4042,76.9513
chd avenue,flat,sector 71,1.25,6597.0,3,4,2,14.0,Relatively New,1545.5598304900002,1,1,0,0,1,2,128,"28.4104° N, 77.0281° E",28.4104,77.0281
emaar digihomes,flat,sector 62,2.45,16000.0,2,2,2,7.0,New Property,1200.0,1,0,0,0,0,2,174,"28.4139° N, 77.0886° E",28.4139,77.0886
ats triumph,flat,sector 104,2.63,9563.0,4,4,3+,21.0,Relatively New,2873.17431019,0,1,0,0,0,1,161,"28.4788° N, 76.9960° E",28.4788,76.996
pyramid urban,flat,sector 67a,0.53,8967.0,2,2,1,6.0,Relatively New,777.78076324,0,0,0,0,1,1,49,"28.3960° N, 77.0372° E",28.396,77.0372
godrej,flat,sector 79,1.29,8206.0,2,2,3,4.0,New Property,1392.3695078500002,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,house,sector 2,2.55,16378.0,3,3,2,2.0,Old Property,1557.0,0,0,0,0,0,0,8,"28.5095° N, 77.0320° E",28.5095,77.032
puri emerald bay,flat,sector 104,1.8,8823.0,2,3,3,23.0,New Property,1507.03828737,0,1,0,0,0,0,36,"28.4788° N, 76.9960° E",28.4788,76.996
dlf city plots phase 4,house,sector 28,9.54,29444.0,6,5,3+,3.0,New Property,3240.0,1,1,1,0,0,0,153,"28.4728° N, 77.0865° E",28.4728,77.0865
emaar palm gardens,flat,sector 83,1.75,9210.0,3,3,3,6.0,Relatively New,1600.0,0,1,0,0,0,1,150,"28.3986° N, 76.9647° E",28.3986,76.9647
bestech park view ananda,flat,sector 81,0.88,8042.0,2,2,3,8.0,Relatively New,1242.02827455,1,0,0,0,0,1,95,"28.3867° N, 76.9485° E",28.3867,76.9485
corona optus,flat,sector 37c,1.44,7236.0,3,3,3+,2.0,Relatively New,1777.63666074,1,1,0,0,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
vatika the seven lamps,flat,sector 82,1.6,6597.0,4,5,3+,8.0,Relatively New,2156.52942137,0,1,0,0,0,0,133,"28.3935° N, 76.9600° E",28.3935,76.96
emaar mgf the palm drive,flat,sector 66,3.2,17777.0,3,3,3,12.0,Relatively New,1800.0,1,1,1,0,0,0,117,"28.3925° N, 77.0541° E",28.3925,77.0541
bptp terra,flat,sector 37d,1.5,8255.0,3,3,3,12.0,Relatively New,1677.4252394600005,0,0,0,0,1,0,49,"28.4478° N, 76.9703° E",28.4478,76.9703
emaar mgf emerald floors premier,flat,sector 65,2.85,14430.0,4,4,3,2.0,Relatively New,1975.0,1,1,0,0,0,0,21,"28.4030° N, 77.0690° E",28.403,77.069
independent,house,sector 105,0.65,9028.0,3,2,1,1.0,Relatively New,720.0,0,0,0,0,1,0,14,"28.4952° N, 77.0114° E",28.4952,77.0114
m3m merlin,flat,sector 67,2.8,13678.0,3,3,3,5.0,Moderately Old,2047.0,0,1,0,0,0,2,26,"28.3859° N, 77.0608° E",28.3859,77.0608
m3m golfestate,flat,sector 65,5.0,18518.0,3,3,3+,28.0,Relatively New,2800.0,0,1,0,0,0,1,165,"28.4030° N, 77.0690° E",28.403,77.069
tulip violet,flat,sector 69,1.75,9459.0,3,4,2,0.0,Relatively New,2038.84933801,0,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
the crew bos chs manesar,flat,manesar,0.85,3695.0,3,3,2,2.0,Moderately Old,2489.5887015100006,0,0,0,0,0,0,44,"28.3515° N, 76.9428° E",28.3515,76.9428
pioneer park,flat,sector 61,3.6,12627.0,4,4,3,3.0,Moderately Old,2538.16145321,0,1,0,0,0,1,121,"28.4050° N, 77.0963° E",28.405,77.0963
emaar gurgaon greens,flat,sector 102,1.52,9212.0,3,3,3,7.0,Relatively New,1336.1578287487,0,1,0,0,0,1,137,"28.4750° N, 76.9715° E",28.475,76.9715
ireo the corridors,flat,sector 67a,1.7,9843.0,3,3,2,10.0,New Property,1367.8534635350002,0,1,0,0,1,1,44,"28.3960° N, 77.0372° E",28.396,77.0372
signature global city,flat,sector 37d,1.1,9838.0,2,2,2,4.0,Relatively New,1305.64664005,0,0,0,0,0,0,59,"28.4478° N, 76.9703° E",28.4478,76.9703
the lions cghs,flat,sector 56,2.05,7884.0,4,4,3+,7.0,Old Property,2600.0,0,0,1,0,0,1,120,"28.4245° N, 77.0991° E",28.4245,77.0991
landmark the residency,flat,sector 103,0.9,6666.0,2,2,2,1.0,Relatively New,1193.49084337,0,0,0,0,0,0,44,"28.4949° N, 76.9845° E",28.4949,76.9845
emaar mgf emerald floors premier,flat,sector 65,2.29,13878.0,3,4,3+,2.0,Relatively New,1838.52073201,1,1,0,0,0,2,174,"28.4030° N, 77.0690° E",28.403,77.069
sobha city,flat,sector 108,3.95,16858.0,3,5,2,15.0,New Property,2343.0,0,1,0,0,0,0,118,"28.5134° N, 76.9830° E",28.5134,76.983
ireo the grand arch,flat,sector 58,3.8,17560.0,3,4,1,19.0,Moderately Old,2164.0,0,1,0,0,0,1,167,"28.4200° N, 77.1105° E",28.42,77.1105
alpha corp gurgaonone,flat,sector 84,1.49,7590.0,3,3,3,6.0,Relatively New,1815.6248394,0,1,0,0,0,0,28,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,house,sector 3,0.9,10000.0,3,4,3,3.0,Moderately Old,3500.0,0,0,0,0,1,1,42,"28.4909° N, 77.0176° E",28.4909,77.0176
emaar mgf the palm drive,flat,sector 66,1.51,15130.0,2,2,2,5.0,Relatively New,1188.0,0,0,0,0,0,1,82,"28.3925° N, 77.0541° E",28.3925,77.0541
sbtl caladium,flat,sector 109,1.9,6219.0,4,4,3,8.0,Relatively New,2720.9148205700003,0,1,0,0,0,0,151,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,house,sector 26,4.6,12198.0,4,4,3+,2.0,Old Property,3771.0,0,0,0,0,0,0,28,"28.4757° N, 77.1032° E",28.4757,77.1032
ramprastha primera,flat,sector 37d,1.1,6111.0,3,3,3,6.0,Relatively New,1700.0,0,0,0,0,0,0,149,"28.4478° N, 76.9703° E",28.4478,76.9703
independent,house,sector 17,0.29,3254.0,2,1,0,0.0,Old Property,891.0,0,0,0,0,0,0,0,"28.4791° N, 77.0608° E",28.4791,77.0608
orchid petals,flat,sector 49,4.52,10984.0,5,5,3+,14.0,Moderately Old,3670.51565097,1,1,0,0,0,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
m3m heights,flat,sector 65,2.25,13608.0,2,2,3,5.0,Under Construction,1621.1641945,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
emaar mgf emerald floors premier,flat,sector 65,2.25,13636.0,3,3,3+,3.0,Relatively New,1462.24579537,1,1,0,0,0,0,152,"28.4030° N, 77.0690° E",28.403,77.069
alpha corp gurgaonone,flat,sector 84,2.2,6406.0,4,4,3+,15.0,Relatively New,3060.4419099300003,0,1,0,0,0,0,97,"28.3979° N, 76.9736° E",28.3979,76.9736
ats marigold,flat,sector 89,1.5,8571.0,3,3,3,2.0,New Property,1938.68503501,0,0,0,0,1,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
assotech blith,flat,sector 99,0.92,6739.0,2,2,3+,22.0,Under Construction,1206.9285909700002,0,0,0,0,0,0,56,"28.4640° N, 76.9614° E",28.464,76.9614
mapsko casa bella,flat,sector 82,3.0,6134.0,4,6,3+,25.0,Relatively New,4364.7992769699995,0,1,0,0,0,1,119,"28.3935° N, 76.9600° E",28.3935,76.96
sector 38 rwa,house,sector 38,4.3,28782.0,9,9,3+,3.0,Relatively New,1494.0,0,0,0,0,1,1,41,"28.4347° N, 77.0430° E",28.4347,77.043
shree vardhman victoria,flat,sector 70,1.5,7692.0,3,5,3,7.0,Relatively New,1539.8590188550002,0,1,0,0,0,1,174,"28.3968° N, 77.0233° E",28.3968,77.0233
m3m golfestate,flat,sector 65,5.2,17455.0,3,3,3,18.0,Relatively New,2652.8302327300003,1,1,0,0,0,1,76,"28.4030° N, 77.0690° E",28.403,77.069
smart world gems,flat,sector 89,1.01,9156.0,2,2,2,4.0,Under Construction,1290.6219946,1,0,0,0,0,0,38,"28.4253° N, 76.9439° E",28.4253,76.9439
independent,house,sector 50,7.0,32407.0,3,2,0,1.0,Moderately Old,2160.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
ambience caitriona,flat,sector 24,14.0,22222.0,4,5,3,3.0,Old Property,6300.0,0,0,0,0,0,0,0,"28.4939° N, 77.1038° E",28.4939,77.1038
indiabulls centrum park,flat,sector 103,1.34,7486.0,3,3,3+,13.0,Relatively New,1562.84629799,1,0,0,0,0,0,93,"28.4949° N, 76.9845° E",28.4949,76.9845
mapsko mount ville,flat,sector 79,1.25,8389.0,3,3,3,22.0,Relatively New,1185.02449176365,1,0,0,0,0,0,160,"28.3624° N, 76.9787° E",28.3624,76.9787
ramsons kshitij,flat,sector 95,0.4,5839.0,3,2,2,6.0,New Property,871.93520806,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
emaar gurgaon greens,flat,sector 102,1.54,9333.0,3,3,3,12.0,Relatively New,1336.1578287487,0,1,0,0,0,0,61,"28.4750° N, 76.9715° E",28.475,76.9715
sare green parc,flat,sector 92,0.85,6538.0,3,2,2,20.0,Relatively New,1300.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,house,sector 8,0.62,11273.0,3,1,0,2.0,Moderately Old,550.0,0,0,0,0,0,0,0,"28.3738° N, 76.8970° E",28.3738,76.897
mrg world ultimus,flat,sector 90,0.5,6983.0,2,2,2,1.0,Under Construction,902.98614199,0,0,0,0,0,0,21,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf city plots,house,sector 26,13.5,29880.0,5,5,3,2.0,Old Property,4518.0,1,1,1,0,0,1,110,"28.4757° N, 77.1032° E",28.4757,77.1032
independent,house,sector 8,0.32,7111.0,2,3,1,1.0,Relatively New,450.0,0,0,0,0,0,0,0,"28.3738° N, 76.8970° E",28.3738,76.897
dlf new town heights,flat,sector 91,1.75,7402.0,4,4,3+,9.0,Relatively New,2101.8825811300003,0,1,0,0,0,0,88,"28.4014° N, 76.9225° E",28.4014,76.9225
pyramid urban homes 2,flat,sector 86,0.44,7321.0,2,2,2,6.0,Relatively New,787.7971935400001,0,0,0,0,0,1,63,"28.3986° N, 76.9384° E",28.3986,76.9384
independent,house,sector 13,9.0,11111.0,10,5,3+,4.0,Old Property,8100.0,0,0,0,0,0,0,0,"28.4757° N, 77.0392° E",28.4757,77.0392
m3m merlin,flat,sector 67,3.4,14418.0,3,4,3,17.0,Relatively New,2096.50748209,0,1,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
satya the legend,house,sector 57,9.25,16577.0,5,5,3+,4.0,Relatively New,5580.0,1,1,1,0,0,1,160,"28.4232° N, 77.0752° E",28.4232,77.0752
umang monsoon breeze,flat,sector 78,0.95,5491.0,3,3,2,9.0,Relatively New,1730.0,0,0,0,0,0,1,65,"28.3733° N, 76.9729° E",28.3733,76.9729
adani brahma samsara vilasa,flat,sector 63,3.35,16470.0,3,3,3+,3.0,New Property,2034.0,0,0,0,0,0,1,16,"28.3971° N, 77.0867° E",28.3971,77.0867
satya the hermitage,flat,sector 103,0.89,6137.0,2,3,3,1.0,Relatively New,1275.830837655,0,1,0,0,0,0,75,"28.4949° N, 76.9845° E",28.4949,76.9845
emaar the palm drive,flat,sector 66,3.9,18636.0,3,4,3,2.0,Relatively New,2200.0,0,0,0,0,0,0,0,"28.3925° N, 77.0541° E",28.3925,77.0541
international city by sobha phase 2,house,sector 109,7.0,12963.0,4,4,3+,2.0,Relatively New,5400.0,0,0,0,0,0,1,102,"28.5073° N, 77.0089° E",28.5073,77.0089
chintels paradiso,flat,sector 109,1.97,7490.0,4,4,2,11.0,Relatively New,2340.17863857,0,1,0,0,0,0,49,"28.5073° N, 77.0089° E",28.5073,77.0089
chanderlok society,flat,sector 28,0.9,7234.0,4,2,3+,1.0,Old Property,1431.8536618300002,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
independent,house,sector 43,8.25,30556.0,5,6,3+,3.0,Moderately Old,2700.0,1,1,1,0,0,1,64,"28.4629° N, 77.0772° E",28.4629,77.0772
nul,house,sector 25,15.0,23437.0,5,5,3,2.0,Moderately Old,6400.0,1,1,0,0,0,1,112,"28.4844° N, 77.0860° E",28.4844,77.086
independent,house,sector 57,3.3,19097.0,4,4,2,3.0,Moderately Old,1728.0,0,0,1,0,0,1,60,"28.4232° N, 77.0752° E",28.4232,77.0752
greenopolis,house,sector 89,0.7,5397.0,2,2,2,14.0,New Property,1297.0,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
ss the leaf,flat,sector 85,1.2,10452.0,2,2,3+,2.0,Relatively New,1394.49161396,0,0,1,0,0,0,156,"28.4042° N, 76.9513° E",28.4042,76.9513
orchid petals,flat,sector 49,1.95,9972.0,3,3,3,2.0,Old Property,1601.10252057,0,0,0,0,0,1,90,"28.4121° N, 77.0480° E",28.4121,77.048
dlf regal gardens,flat,sector 90,1.19,5505.0,3,3,2,11.0,Relatively New,1530.33038321,0,0,0,0,1,0,88,"28.4085° N, 76.9369° E",28.4085,76.9369
ats triumph,flat,sector 104,2.62,8317.0,4,4,3+,14.0,Relatively New,2806.02055537,0,1,0,0,0,0,174,"28.4788° N, 76.9960° E",28.4788,76.996
pareena coban residences,flat,sector 99a,1.08,6625.0,3,5,3,2.0,Relatively New,1750.0,0,1,0,0,1,0,49,"28.4561° N, 76.9542° E",28.4561,76.9542
independent,house,sector 57,8.0,29630.0,5,4,3,2.0,Relatively New,2700.0,1,1,0,0,0,0,21,"28.4232° N, 77.0752° E",28.4232,77.0752
tulip violet,flat,sector 69,1.52,9632.0,3,3,2,4.0,Relatively New,1397.74460689,0,0,0,0,0,1,156,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,house,sector 56,7.5,23148.0,8,8,3+,3.0,Relatively New,3240.0,1,1,0,0,0,2,42,"28.4245° N, 77.0991° E",28.4245,77.0991
vipul tatvam villa,house,sector 48,5.75,22184.0,4,4,2,2.0,Moderately Old,2592.0,0,1,0,0,0,0,30,"28.4177° N, 77.0359° E",28.4177,77.0359
eldeco mansionz,house,sector 48,6.4,23704.0,4,4,3,3.0,Moderately Old,2700.0,0,1,1,0,0,1,151,"28.4177° N, 77.0359° E",28.4177,77.0359
greenopolis,flat,sector 89,0.8,6168.0,2,2,2,6.0,Under Construction,1484.94074242,0,0,0,0,0,0,44,"28.4253° N, 76.9439° E",28.4253,76.9439
tarc maceo,flat,sector 91,0.89,6339.0,2,2,3+,9.0,Relatively New,1314.8240516200003,0,0,0,0,1,1,13,"28.4014° N, 76.9225° E",28.4014,76.9225
ss,flat,sector 85,1.18,7170.0,2,2,3,4.0,Relatively New,1630.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
elan the presidential,flat,sector 106,3.9,15918.0,3,3,0,20.0,Relatively New,2450.0,0,0,0,0,0,0,66,"28.5007° N, 77.0003° E",28.5007,77.0003
the close north,flat,sector 50,2.75,12500.0,3,3,3,3.0,Moderately Old,2400.0,0,1,0,0,0,0,110,"28.4178° N, 77.0628° E",28.4178,77.0628
pivotal devaan apartments,flat,sector 84,0.39,6500.0,2,2,0,5.0,Relatively New,604.11735544,0,0,0,0,0,0,0,"28.3979° N, 76.9736° E",28.3979,76.9736
orchid island,flat,sector 51,1.7,10651.0,3,4,3,2.0,Moderately Old,1784.4320083900002,0,0,1,0,0,0,90,"28.4320° N, 77.0686° E",28.432,77.0686
independent,house,sector 3,0.6,6000.0,1,1,0,1.0,Moderately Old,1000.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
ats triumph,flat,sector 104,2.5,7936.0,4,4,3+,14.0,New Property,2806.02055537,0,1,0,0,0,0,21,"28.4788° N, 76.9960° E",28.4788,76.996
dlf new town heights,flat,sector 90,1.25,6502.0,3,3,3+,5.0,Relatively New,1929.0,0,1,0,0,0,0,127,"28.4085° N, 76.9369° E",28.4085,76.9369
central park resorts,flat,sector 48,15.0,22388.0,5,6,3+,17.0,Relatively New,6896.8180335100005,1,1,0,0,0,2,45,"28.4177° N, 77.0359° E",28.4177,77.0359
suncity platinum towers,flat,sector 28,7.0,22222.0,4,3,2,10.0,Moderately Old,2453.986702135,0,1,0,0,0,0,31,"28.4728° N, 77.0865° E",28.4728,77.0865
ss the leaf,flat,sector 85,1.07,6524.0,2,2,3,21.0,Relatively New,1453.2872969700002,0,0,0,0,0,0,67,"28.4042° N, 76.9513° E",28.4042,76.9513
shree vardhman flora,flat,sector 90,0.65,4961.0,2,2,3,11.0,Relatively New,1225.0,1,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
denso haryana housing society,flat,manesar,0.9,4308.0,3,3,3+,5.0,Moderately Old,2278.2420221800003,0,1,0,0,0,0,7,"28.3515° N, 76.9428° E",28.3515,76.9428
signature global city 81,flat,sector 81,0.89,8279.0,2,2,2,3.0,Under Construction,1262.57598976,0,0,0,0,1,0,20,"28.3867° N, 76.9485° E",28.3867,76.9485
shree vardhman victoria,flat,sector 70,1.8,9230.0,3,5,3,0.0,New Property,2139.0136410100004,0,0,0,0,0,0,72,"28.3968° N, 77.0233° E",28.3968,77.0233
independent,house,sector 28,11.75,41315.0,4,5,3+,4.0,Relatively New,2844.0,1,1,1,0,0,1,54,"28.4728° N, 77.0865° E",28.4728,77.0865
shree vardhman victoria,flat,sector 70,1.75,8205.0,3,5,3,7.0,New Property,1539.8590188550002,0,1,0,0,0,0,37,"28.3968° N, 77.0233° E",28.3968,77.0233
orris carnation residency,flat,sector 85,1.1,6686.0,3,4,3,6.0,Moderately Old,1472.8561088400002,0,1,0,0,0,2,65,"28.4042° N, 76.9513° E",28.4042,76.9513
indiabulls enigma,flat,sector 110,3.79,9895.0,5,5,3,4.0,Relatively New,3415.19844657,0,1,0,0,1,0,125,"28.5145° N, 77.0197° E",28.5145,77.0197
supertech araville,flat,sector 79,1.1,5641.0,3,3,3,1.0,Relatively New,2139.0136410100004,0,0,0,0,0,1,106,"28.3624° N, 76.9787° E",28.3624,76.9787
nirvana country,house,sector 50,10.0,14285.0,5,7,2,4.0,Moderately Old,7000.0,0,1,0,0,0,2,0,"28.4178° N, 77.0628° E",28.4178,77.0628
godrej air,flat,sector 85,2.6,12212.0,3,3,3,17.0,Under Construction,2129.0,0,1,0,0,0,0,44,"28.4042° N, 76.9513° E",28.4042,76.9513
pivotal devaan,flat,sector 84,0.34,7039.0,2,2,1,1.0,Relatively New,669.6033160000001,0,0,1,0,0,1,84,"28.3979° N, 76.9736° E",28.3979,76.9736
sanskriti apartment,flat,sector 10a,1.1,6666.0,3,3,3,2.0,Moderately Old,1838.52073201,0,0,0,0,0,0,22,"28.4469° N, 77.0106° E",28.4469,77.0106
tulip orange,flat,sector 70,1.0,10309.0,3,2,2,3.0,Moderately Old,1157.40347161,0,0,0,0,0,0,58,"28.3968° N, 77.0233° E",28.3968,77.0233
independent,house,sector 25,4.35,32222.0,5,4,3,3.0,Old Property,1350.0,0,1,0,0,0,0,49,"28.4844° N, 77.0860° E",28.4844,77.086
paras dews,flat,sector 106,0.92,6642.0,2,2,3+,2.0,Relatively New,940.0,0,0,0,0,0,0,174,"28.5007° N, 77.0003° E",28.5007,77.0003
bestech park view sanskruti,flat,sector 92,1.83,7870.0,4,3,3,8.0,New Property,2066.9444373700003,0,1,0,0,0,0,128,"28.4079° N, 76.9153° E",28.4079,76.9153
essel towers,flat,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1948.70146531,0,0,0,0,0,0,0,"28.4711° N, 77.0454° E",28.4711,77.0454
dlf regal gardens,flat,sector 90,1.3,7150.0,3,3,3+,7.0,Relatively New,1700.0,0,0,0,0,0,0,141,"28.4085° N, 76.9369° E",28.4085,76.9369
ansal sushant lok plots,house,sector 43,5.8,29974.0,6,6,3,2.0,Relatively New,1935.0,0,1,0,0,1,1,49,"28.4629° N, 77.0772° E",28.4629,77.0772
shree vardhman flora,flat,sector 90,1.27,4951.0,4,5,2,9.0,New Property,2214.96026919,1,1,0,0,0,0,83,"28.4085° N, 76.9369° E",28.4085,76.9369
shree vardhman flora,flat,sector 90,0.65,6789.0,2,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,0,67,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf trinity towers,flat,sector 43,3.8,15510.0,3,3,3+,1.0,Moderately Old,2450.0,0,1,0,0,0,1,68,"28.4629° N, 77.0772° E",28.4629,77.0772
independent,house,sector 104,0.6,5128.0,7,3,1,2.0,Moderately Old,1170.0,0,0,0,0,0,0,0,"28.4788° N, 76.9960° E",28.4788,76.996
m3m woodshire,flat,sector 107,1.2,6176.0,3,3,3,7.0,Relatively New,1750.0,0,0,0,0,0,1,49,"28.5052° N, 76.9729° E",28.5052,76.9729
antriksh heights,flat,sector 84,0.9,6206.0,3,3,3+,12.0,Relatively New,1525.0,0,0,0,0,0,0,166,"28.3979° N, 76.9736° E",28.3979,76.9736
experion the heartsong,flat,sector 108,0.93,6079.0,2,3,3,10.0,Relatively New,1133.46890409,0,0,0,0,0,0,81,"28.5134° N, 76.9830° E",28.5134,76.983
"nirmal enclave, maruti kunj road",house,sector 11,0.24,5333.0,2,2,0,2.0,Relatively New,450.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
independent,house,sector 51,2.25,2778.0,6,3,3+,3.0,Relatively New,900.0,0,0,0,0,0,0,54,"28.4320° N, 77.0686° E",28.432,77.0686
sobha city,flat,sector 108,3.35,13266.0,3,4,2,19.0,New Property,2525.0,0,0,0,0,0,0,102,"28.5134° N, 76.9830° E",28.5134,76.983
tulip violet,flat,sector 69,1.36,8618.0,3,3,2,12.0,Relatively New,1397.74460689,0,0,0,0,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m heights,flat,sector 65,2.1,16653.0,2,2,3,8.0,New Property,1050.44218206,0,0,0,0,0,0,31,"28.4030° N, 77.0690° E",28.403,77.069
ramprastha the edge towers,flat,sector 37d,0.75,5319.0,2,2,3,19.0,Moderately Old,1410.0,0,0,0,0,0,0,63,"28.4478° N, 76.9703° E",28.4478,76.9703
tulip violet,flat,sector 69,1.7,8432.0,4,4,2,10.0,New Property,1784.75173777,0,0,0,0,0,0,125,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m woodshire,flat,sector 107,1.8,7623.0,3,4,3+,2.0,Relatively New,1835.63935882,0,1,0,0,0,0,129,"28.5052° N, 76.9729° E",28.5052,76.9729
alpha corp gurgaonone,flat,sector 84,1.15,7496.0,2,2,3,8.0,Relatively New,1373.0542912200003,1,0,0,0,0,1,37,"28.3979° N, 76.9736° E",28.3979,76.9736
rk excelo,house,sector 12,0.6,13333.0,5,3,2,3.0,Moderately Old,30.0,0,0,0,0,1,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
raheja vedaanta,flat,sector 108,0.7,4651.0,2,2,2,12.0,Relatively New,1505.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
imperia elvedor,flat,sector 37c,0.55,8221.0,1,1,0,5.0,Relatively New,669.0,0,0,0,0,0,0,0,"28.4515° N, 76.9882° E",28.4515,76.9882
sahara grace,flat,sector 28,5.5,14612.0,4,5,3+,5.0,Moderately Old,3356.07235713,0,1,0,0,1,1,8,"28.4728° N, 77.0865° E",28.4728,77.0865
raisina residency,flat,sector 59,5.0,13058.0,4,4,3+,13.0,Relatively New,4021.1008943800007,1,1,1,0,0,1,174,"28.4051° N, 77.1097° E",28.4051,77.1097
vatika lifestyle homes,flat,sector 83,1.15,8214.0,3,3,1,7.0,Moderately Old,1606.7002203800002,0,0,0,0,0,1,95,"28.3986° N, 76.9647° E",28.3986,76.9647
ansal api esencia,flat,sector 67,1.2,7407.0,3,3,2,1.0,Relatively New,366.10547791,0,0,0,0,0,0,49,"28.3859° N, 77.0608° E",28.3859,77.0608
emaar mgf the palm drive,flat,sector 66,3.0,14285.0,4,5,3+,10.0,Relatively New,2100.0,0,1,0,0,0,1,49,"28.3925° N, 77.0541° E",28.3925,77.0541
ss the leaf,flat,sector 85,1.77,7350.0,3,4,3+,7.0,New Property,2141.29997409,0,0,1,0,0,0,107,"28.4042° N, 76.9513° E",28.4042,76.9513
senate court,flat,sector 62,0.9,14084.0,1,1,0,0.0,Relatively New,639.0,0,0,0,0,0,0,0,"28.4139° N, 77.0886° E",28.4139,77.0886
"bhim nagar, sector 6",house,sector 6,0.85,14096.0,5,2,2,1.0,Old Property,67.0,0,0,0,0,0,0,29,"28.4745° N, 77.0262° E",28.4745,77.0262
orris carnation residency,flat,sector 85,0.55,5788.0,2,2,2,5.0,Relatively New,1050.0,0,0,0,0,1,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf park place,flat,sector 54,5.75,24689.0,3,4,3,12.0,Relatively New,2329.0,0,1,0,0,0,2,174,"28.4348° N, 77.1089° E",28.4348,77.1089
emaar mgf palm studios,flat,sector 66,1.45,14795.0,2,2,3,3.0,Relatively New,1107.8915356000002,0,0,0,0,0,0,92,"28.3925° N, 77.0541° E",28.3925,77.0541
conscient heritage max,flat,sector 102,1.82,9371.0,3,4,3+,15.0,Moderately Old,1723.83394865,0,1,0,0,0,0,125,"28.4750° N, 76.9715° E",28.475,76.9715
ireo skyon,flat,sector 60,3.05,12788.0,3,3,3,9.0,Relatively New,2300.0,0,1,0,0,0,1,165,"28.4003° N, 77.0975° E",28.4003,77.0975
